日期,站点名称,所属渠道商,渠道名称,用户属性,用户类型,用户人数,首日杀率,2日杀率,3日杀率,4日杀率,5日杀率,6日杀率,7日杀率,15日杀率,30日杀率,首日投充比,2日投充比,3日投充比,4日投充比,5日投充比,6日投充比,7日投充比,15日投充比,30日投充比
汇总,电子站-炫紫,,本站,首存用户,全部,20,1.688032,0.577947,0.323636,,,,,,,0.818049,4.383333,,,,,,,
汇总,电子站-炫紫,,本站,首存用户,TOP3,3,2.231250,0.174863,,,,,,,,2.285714,9.150000,,,,,,,
汇总,电子站-炫紫,,本站,首存用户,非TOP3,17,1.192509,1.500000,0.323636,,,,,,,0.515882,2.000000,,,,,,,
2026-04-10,电子站-炫紫,,本站,首存用户,全部,1,0.010000,,0.323636,,,,,,,0.560000,,,,,,,,
2026-04-10,电子站-炫紫,,本站,首存用户,非TOP3,1,0.010000,,0.323636,,,,,,,0.560000,,,,,,,,
2026-04-12,电子站-炫紫,,本站,首存用户,全部,2,1.950000,,,,,,,,,0.666667,,,,,,,,
2026-04-12,电子站-炫紫,,本站,首存用户,非TOP3,2,1.950000,,,,,,,,,0.666667,,,,,,,,
2026-04-13,电子站-炫紫,,本站,首存用户,全部,5,1.703333,,,,,,,,,1.363636,,,,,,,,
2026-04-13,电子站-炫紫,,本站,首存用户,TOP3,1,2.480000,,,,,,,,,5.000000,,,,,,,,
2026-04-13,电子站-炫紫,,本站,首存用户,非TOP3,4,0.150000,,,,,,,,,0.555556,,,,,,,,
2026-04-14,电子站-炫紫,,本站,首存用户,全部,3,4.514815,,,,,,,,,0.450000,0.000000,,,,,,,
2026-04-14,电子站-炫紫,,本站,首存用户,非TOP3,3,4.514815,,,,,,,,,0.450000,0.000000,,,,,,,
2026-04-15,电子站-炫紫,,本站,首存用户,全部,6,1.127334,1.500000,,,,,,,,1.207273,4.000000,,,,,,,
2026-04-15,电子站-炫紫,,本站,首存用户,TOP3,1,1.816667,,,,,,,,,3.000000,,,,,,,,
2026-04-15,电子站-炫紫,,本站,首存用户,非TOP3,5,0.559203,1.500000,,,,,,,,0.808889,4.000000,,,,,,,
2026-04-16,电子站-炫紫,,本站,首存用户,全部,3,,0.174863,,,,,,,,0.000000,9.150000,,,,,,,
2026-04-16,电子站-炫紫,,本站,首存用户,TOP3,1,,0.174863,,,,,,,,0.000000,9.150000,,,,,,,
2026-04-16,电子站-炫紫,,本站,首存用户,非TOP3,2,,,,,,,,,,0.000000,,,,,,,,
