用户分层,指标,合计,捕鱼,彩票,电竞,电子-老虎机,电子-街机,电子棋牌,体育,视讯,电子-奖池,真人棋牌,棋牌锦标赛
所有用户,有效投注流水,16225.200000,2202.000000,0.000000,0.000000,11712.000000,1016.000000,1295.200000,0.000000,0.000000,0.000000,0.000000,0.000000
所有用户,下注次数,194.000000,11.000000,0.000000,0.000000,153.000000,17.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000
所有用户,均注金额,83.635100,200.181800,0.000000,0.000000,76.549000,59.764700,99.630800,0.000000,0.000000,0.000000,0.000000,0.000000
所有用户,输赢,20852.460000,-313.000000,0.000000,0.000000,21428.200000,10.160000,-272.900000,0.000000,0.000000,0.000000,0.000000,0.000000
所有用户,杀率,1.285190,-0.142144,0.000000,0.000000,1.829594,0.010000,-0.210701,0.000000,0.000000,0.000000,0.000000,0.000000
所有用户,投注占比,1.000000,0.135715,0.000000,0.000000,0.721840,0.062619,0.079826,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,有效投注流水,4613.000000,613.000000,0.000000,0.000000,4000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,下注次数,30.000000,2.000000,0.000000,0.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,均注金额,153.766700,306.500000,0.000000,0.000000,142.857100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,输赢,6001.000000,-164.000000,0.000000,0.000000,6165.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,杀率,1.300889,-0.267537,0.000000,0.000000,1.541250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TOP3,投注占比,1.000000,0.132885,0.000000,0.000000,0.867115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,有效投注流水,11612.200000,1589.000000,0.000000,0.000000,7712.000000,1016.000000,1295.200000,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,下注次数,164.000000,9.000000,0.000000,0.000000,125.000000,17.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,均注金额,70.806100,176.555600,0.000000,0.000000,61.696000,59.764700,99.630800,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,输赢,14851.460000,-149.000000,0.000000,0.000000,15263.200000,10.160000,-272.900000,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,杀率,1.278953,-0.093770,0.000000,0.000000,1.979149,0.010000,-0.210701,0.000000,0.000000,0.000000,0.000000,0.000000
非TOP3,投注占比,1.000000,0.136839,0.000000,0.000000,0.664129,0.087494,0.111538,0.000000,0.000000,0.000000,0.000000,0.000000
